Nombre	NombreCompleto
J. McGlashan	Jermaine McGlashan
J. McGrath	Jamie McGrath
J. McGregor	Jordan McGregor
J. McGuire	Jake McGuire
J. McInerney	Jack McInerney
J. McIntyre	Jamie McIntyre
J. McKay	Jack McKay
J. McKeown	James McKeown
J. McLaughlin	Jon McLaughlin
J. McMenemy	Jack McMenemy
J. McNerney	Joe McNerney
J. McNulty	Jim McNulty
J. McPake	James McPake
J. Meade	Jernade Meade
J. Meades	Jon Meades
J. Medina	Juan Carlos Medina
J. Medranda	Jimmy Medranda
J. Meekings	Josh Meekings
J. Mees	Joshua Mees
J. Meffert	Jonas Meffert
J. Mehl	Jeppe Mehl
J. Melling	Jacob Melling
J. Mellis	Jacob Mellis
J. Mendes	Joseph Mendes
J. Méndez	Jesús Méndez
J. Mendoza	Javier Mendoza
J. Mendy	Jean Alassane Mendy
J. Mendy	Jules Mendy
J. Menéndez	Jonathan Menéndez
J. Meneses	Jhon Meneses
J. Ménez	Jérémy Ménez
J. Mensah	Jonathan Mensah
J. Mensah	Joseph Mensah
J. Meram	Justin Meram
J. Mercier	Juan Mercier
J. Meredith	James Meredith
J. Meza	Jhonny Meza
J. Meza	Juan Pablo Meza
J. Mezú	Juan José Mezú
J. Michel	Julian Michel
J. Mihalík	Jaroslav Mihalík
J. Mills	Joseph Mills
J. Milner	James Milner
J. Minala	Joseph Minala
J. Mitchell	Jonathan Mitchell
J. Mlakar	Jan Mlakar
J. Möbius	Justin Möbius
J. Möckel	Jens Möckel
J. Moder	Jakub Moder
J. Mojica	Johan Mojica
J. Molangoane	Joseph Molangoane
J. Molina	Jesús Molina
J. Molumby	Jayson Molumby
J. Mombris	Jérôme Mombris
J. Mondragón	Jhon Steven Mondragón
J. Montaño	Jackson Montaño
J. Monteiro	Jamiro Monteiro
J. Montero	Jefferson Montero
J. Moore-Taylor	Jordan Moore-Taylor
J. Morales	Javier Morales
J. Moran	Jon Moran
J. Morávek	Jan Morávek
J. Moreira	Jorge Moreira
J. Morel	Jérémy Morel
J. Moreno	José Luis Moreno
J. Moreno	Juan Esteban Moreno
J. Moreno	Júnior Moreno
J. Morias	Junior Morias
J. Morrell	Joe Morrell
J. Morris	Jordan Morris
J. Morris	Jordan Morris
J. Morris	Josh Morris
J. Morrison	James Morrison
J. Morrow	Justin Morrow
J. Morsay	Jonathan Morsay
J. Mosquera	Jhon Mosquera
J. Mosquera	Juan Mosquera
J. Mosquera	Jair Mosquera
J. Mosquera	Jonny Mosquera
J. Moulin	Jessy Moulin
J. Mountney	John Mountney
J. Mousinho	John Mousinho
J. Moya	José David Moya
J. Mucha	Ján Mucha
J. Müller	Jim-Patrick Müller
J. Müller	Jannik Müller
J. Mullins	Johnny Mullins
J. Muñoz	Jared Muñoz
J. Muñoz	Jhonathan Muñoz
J. Muñoz	Johan Muñoz
J. Murillo	Jesús Murillo
J. Murillo	Jhon Murillo
J. Murillo	Jefferson Murillo
J. Murillo	Jeison Murillo
J. Murphy	Josh Murphy
J. Murphy	Jacob Murphy
J. Murphy	Joe Murphy
J. Murphy	Jamie Murphy
J. Musa	James Musa
J. Musso	Juan Musso
J. Mutch	Jordon Mutch
J. Nadeau	Joshua Nadeau
J. Naismith	Jason Naismith
J. Nanizayamo	Jonathan Nanizayamo
J. Narváez	Juan José Narváez
J. Nation	Jonatan Tollås Nation
J. Navrátil	Jaroslav Navrátil
J. Neiroga	Joe Neiroga
J. Nerwinski	Jakob Nerwinski
J. Ness	Jamie Ness
J. Neumann	Justin Neumann
J. Newell	Joe Newell
J. Ngongo	João Ngongo
J. Ngoy	Julien Ngoy
J. Nicholson	Jordan Nicholson
J. Nietfeld	Jonas Nietfeld
J. Nieto	Juan Pablo Nieto
J. Niezgoda	Jaroslaw Niezgoda
J. Nikolaou	Jannis Nikolaou
J. Nilsen	Joakim Våge Nilsen
J. Nilsson	Joakim Nilsson
J. Nirlo	Jimmy Nirlo
J. Nolan	Jon Nolan
J. North	Jade North
J. Nsame	Jean-Pierre Nsame
J. Núñez	Juan Núñez
J. Núñez	Juan Carlos Núñez
J. Nuttall	Joe Nuttall
J. Nyholm	Jesper Nyholm
J. Obi	Joel Obi
J. Obiang	Johann Obiang
J. Obika	Jonathan Obika
J. Obita	Jordan Obita
J. Oblak	Jan Oblak
J. O'Brien	Jim O'Brien
J. Ochoa	Juan Ochoa
J. O'Connell	Jack O'Connell
J. O'Connor	Jake O'Connor
J. O'Doherty	Jordan O'Doherty
J. O'Flynn	John O'Flynn
J. O'Hanlon	Josh O'Hanlon
J. Ojala	Juhani Ojala
J. Okkels	Jeppe Okkels
J. Okore	Jores Okore
J. Olsson	Jonas Olsson
J. Omlin	Jonas Omlin
J. Onguéné	Jérôme Junior Onguéné
J. Onomah	Josh Onomah
J. Oosterlen	Jair Oosterlen
J. Oosterwijk	Jari Oosterwijk
J. Opoku	Johnatan Opoku
J. Oremo	Johan Oremo
J. Orlov	Jakob Orlov
J. Orobio	Javier Orobio
J. Orozco	Jonathan Orozco
J. Ortiz	Jorge Ortiz
J. Ortiz	Jerry Ortiz
J. Osabutey	Jonah Osabutey
J. Osborne	Jamey Osborne
J. O'Shea	John O'Shea
J. O'Shea	Jay O'Shea
J. Osorio	Jonathan Osorio
J. O'Sullivan	John O'Sullivan
J. O'Toole	John-Joe O'Toole
J. Oyarcan	Juan Eduardo Oyarcan
J. Padilla	Jesús Padilla
J. Paganoni	Jesús Paganoni
J. Pajoy	Jhon Freddy Pajoy
J. Palacios	Jair Palacios
J. Palacios	Jeison Palacios
J. Palacios	Jamillacson Palacios
J. Palomino	José Luis Palomino
J. Pardaneos	Juan Pardaneos
J. Parker	Josh Parker
J. Parr	Jonathan Parr
J. Partington	Joe Partington
J. Pastore	Javier Pastore
J. Paterson	Jamie Paterson
J. Patiño	Juan Patiño
J. Pavlenka	Jirí Pavlenka
J. Payne	Jack Payne
J. Payne	Josh Payne
J. Pearce	Jason Pearce
J. Pelupessy	Joey Pelupessy
J. Pendant	Jason Pendant
J. Penrice	James Penrice
J. Penroz	Jayson Penroz
J. Pepper	Jacob Pepper
J. Perbet	Jérémy Perbet
J. Perch	James Perch
J. Pereira	Jair Pereira
J. Pereyra	Joaquín Pereyra
J. Pereyra Díaz	Jorge Pereyra Díaz
J. Pérez	Jhon Pérez
J. Peters	Jordens Peters
J. Peterson	Jacob Peterson
J. Petriccione	Jacopo Petriccione
J. Phojo	Jérôme Phojo
J. Pi	Jessy Pi
J. Pickford	Jordan Pickford
J. Pied	Jérémy Pied
J. Pierre-Charles	Jordan Pierre-Charles
J. Pinola	Javier Pinola
J. Piotrowski	Jakub Piotrowski
J. Pirinen	Juha Pirinen
J. Pirttijoki	Juho Pirttijoki
J. Pius	Junior Pius
J. Placide	Johny Placide
J. Plašil	Jaroslav Plašil
J. Plata	Joao Plata
J. Pohjanpalo	Joel Pohjanpalo
J. Pohl	Jannik Pohl
J. Pollersbeck	Julian Pollersbeck
J. Ponticelli	Jordan Ponticelli
J. Porsan-Clemente	Jérémie Porsan-Clemente
J. Posavec	Josip Posavec
J. Poscoliero	Jacob Poscoliero
J. Poulsen	Jakob Poulsen
J. Pourtau	Jerónimo Pourtau
J. Pretel	Julián Pretel
J. Price	Jack Price
J. Prior	Jérôme Prior
J. Proctor	Jamie Proctor
J. Promes	Jerold Promes
J. Pryts Larsen	Jacob Pryts Larsen
J. Puncheon	Jason Puncheon
J. Pupe	Joedrick Pupe
J. Püschel	Julian Püschel
J. Putze	Joshua Putze
J. Quigley	Joe Quigley
J. Quiñones	Julian Quiñones
J. Quiñones	Julián Quiñones
J. Quintero	Juan Fernando Quintero
J. Quintero	Josimar Quintero
J. Quintero	Juan Quintero
J. Quiroga	Juan Quiroga
J. Rafferty	Joe Rafferty
J. Raitala	Jukka Raitala
J. Ralls	Joe Ralls
J. Ramaré	Johann Ramaré
J. Ramírez	Juan Ramírez
J. Ramírez	Juan Pablo Ramírez
J. Ramírez	José Ramírez
J. Ramis	Jhonathan Ramis
J. Ramos	Jorge Ramos
J. Ramos	Juan Manuel Ramos
J. Rasheed	Jonathan Rasheed
J. Rask	Jesper Rask
J. Rasmussen	Jacob Rasmussen
J. Rassoul	Joher Khadim Rassoul
J. Reeves	Jake Reeves
J. Reimerink	Jules Reimerink
J. Reina	Javier Reina
J. Reine-Adelaïde	Jeff Reine-Adelaïde
J. Reiners	Jamal Reiners
J. Reinhardt	Julius Reinhardt
J. Remacle	Jordan Remacle
J. Repas	Jan Repas
J. Respen	Juul Respen
J. Restrepo	Javier Restrepo
J. Rhodes	Jordan Rhodes
J. Riedel	Julian Riedel
J. Riedewald	Jaïro Riedewald
J. Rijkers	Jeffrey Rijkers
J. Rikemberg	Joaquín Rikemberg
J. Riley	Joe Riley
J. Riley	Joe Riley
J. Ring	Jonathan Ring
J. Rinne	Jacob Rinne
J. Riocel	Jason Riocel
J. Ríos	Juan David Ríos
J. Risdon	Josh Risdon
J. Ritter	Johannes Ritter
J. Rivas	Juan Gabriel Rivas
J. Rivas	Janeiler Rivas
J. Rivas	José Rivas
J. Rivierez	Jonathan Rivierez
J. Roa	Juan Daniel Roa
J. Roa	Juan Camilo Roa
J. Robben	Jens Robben
J. Roberts	Jordan Roberts
J. Roberts	James Roberts
J. Robinson	Jalen Robinson
J. Robinson	Jack Robinson
J. Rodon	Joe Rodon
J. Rodriguez	Jay Rodriguez
J. Rodríguez	Juan Pablo Rodríguez
J. Rodríguez	José Antonio Rodríguez
J. Rodríguez	James Rodríguez
J. Rodríguez	Jorge Rodríguez
J. Rodríguez	Jonathan Rodríguez
J. Rodríguez	Juan Rodríguez
J. Rodríguez	José Iván Rodríguez
J. Rodwell	Jack Rodwell
J. Rojas	Joao Rojas
J. Romero	Jonás Romero
J. Romil	Jorris Romil
J. Rønningen	Jonas Rønningen
J. Rose	Josh Rose
J. Rosenthal	Jan Rosenthal
J. Rossiter	Jordan Rossiter
J. Rothwell	Joe Rothwell
J. Roussillon	Jérôme Roussillon
J. Rowley	Joe Rowley
J. Roye	Jimmy Roye
J. Rozalas	Jordano Rozalas
J. Ruddy	John Ruddy
J. Ruddy	Jack Ruddy
J. Ruffels	Josh Ruffels
J. Ruiz	John Jairo Ruiz
J. Ruiz	Jean Ruiz
J. Russell	John Russell
J. Russell	Johnny Russell
J. Ryan	Jimmy Ryan
J. Ryerson	Julian Ryerson
J. Sabbatini	Jonathan Sabbatini
J. Sagredo	José Sagredo
J. Sainati	Joris Sainati
J. Saksela	Janne Saksela
J. Sala	Jacopo Sala
J. Salas	Javier Salas
J. Salih	Jaudet Salih
J. Salze	Jacques Salze
J. Sambia	Junior Sambia
J. Samuelsen	Jone Samuelsen
J. San Román	José San Román
J. Sánchez	Jesús Sánchez
J. Sánchez	James Sánchez
J. Sánchez	Juan Manuel Sánchez
J. Sánchez	Jorge Sánchez
J. Sánchez Miño	Juan Sánchez Miño
J. Sánchez Sotelo	Juan Sánchez Sotelo
J. Sancho	Jadon Sancho
J. Sandoval	Jonathan Sandoval
J. Sangha	Jordon Sangha
J. Sarnida	Jeff Sarnida
J. Sartiaguin	Jorge Sartiaguin
J. Saunders	Josh Saunders
J. Savarino	Jefferson Savarino
J. Sbarra	Joe Sbarra
J. Schau	Justin Schau
J. Schauerte	Julian Schauerte
J. Schieber	Julian Schieber
J. Schlupp	Jeffrey Schlupp
J. Schmid	Jonathan Schmid
J. Schmidt	Justin Schmidt
J. Schneider	Jan-Marc Schneider
J. Schryvers	Jur Schryvers
J. Schunke	Jonathan Schunke
J. Schuster	Julian Schuster
J. Schwadorf	Jules Schwadorf
J. Scowen	Josh Scowen
J. Sebban	Jordan Sebban
J. Segura	Jorge Segura
J. Seldinarez	Jorge Seldinarez
J. Sellars	Jerell Sellars
J. Senior	Jack Senior
J. Senparabia	Jeff Nazario Senparabia
J. Serafin	Jakub Serafin
J. Seri	Jean Michaël Seri
J. Serrano	Julien Serrano
J. Shackell	Jason Shackell
J. Shaibu	Justin Shaibu
J. Shaughnessy	Joe Shaughnessy
J. Shea	James Shea
J. Sheehan	Josh Sheehan
J. Shelvey	Jonjo Shelvey
J. Shipley	Jordan Shipley
J. Shonga	Justin Shonga
J. Siebenhandl	Jörg Siebenhandl
J. Sievers	Jan-Ole Sievers
J. Sills	Juan Ignacio Sills
J. Silva	Jonathan Silva
J. Silva	Jordan Silva
J. Silva	Juan Silva
J. Silva	Joel Silva
J. Simonsen	Jeppe Simonsen
J. Simpson	Jack Simpson
J. Simpson	Jay Simpson
J. Sims	Josh Sims
J. Sims	Jack Sims
J. Šimunovic	Jozo Šimunovic
J. Sinclair	Jerome Sinclair
J. Singh	Jackichand Singh
J. Sinnott	Jordan Sinnott
J. Skalák	Jirí Skalák
J. Skarz	Joe Skarz
J. Skjelvik	Jørgen Skjelvik
J. Skomsøy Bjerkås	Joakim Skomsøy Bjerkås
J. Slew	Jordan Slew
J. Slowik	Jakub Slowik
J. Smith	Jimmy Smith
J. Smith	Jonathan Smith
J. Smith	Jay Smith
J. Smith	Joshua Smith
J. Smith	Jordan Smith
J. Sneddon	Jamie Sneddon
J. Sokolik	Jakub Sokolik
J. Soladio	Jordy Soladio
J. Solberg	Joachim Olsen Solberg
J. Soltvedt	Joachim Soltvedt
J. Soñora	Joel Soñora
J. Sony Alcenat	Jean Sony Alcenat
J. Sorbon	Jérémy Sorbon
J. Sotirio	Jaushua Sotirio
J. Souttar	John Souttar
J. Sowerby	Jack Sowerby
J. Sparkes	Jack Sparkes
J. Spearing	Jay Spearing
J. Spector	Jonathan Spector
J. Spence	Jordan Spence
J. Spencer	Jimmy Spencer
J. Speroni	Julián Speroni
J. St. Juste	Jeremiah St. Juste
J. Stacey	Jack Stacey
J. Stage	Jens Stage
J. Stanislas	Junior Stanislas
J. Stans	Jeff Stans
J. Starkey	Jesse Starkey
J. Stead	Jonathan Stead
J. Steele	Jason Steele
J. Steer	Jed Steer
J. Steinkötter	Justin Steinkötter
J. Stephens	Jack Stephens
J. Stephens	Jamie Stephens
J. Sterry	Jamie Sterry
J. Stertzer	John Stertzer
J. Stingl	Johannes Stingl
J. Stobbs	Jack Stobbs
J. Stockley	Jayden Stockley
J. Stojanovic	Jovan Stojanovic
J. Stones	John Stones
J. Storey	Jordan Storey
J. Straus	Jonatan Straus
J. Strauß	John-Patrick Strauß
J. Stryger Larsen	Jens Stryger Larsen
J. Sudic	Jasmin Sudic
J. Suescún	Juan Suescún
J. Sullivan	John Sullivan
J. Šural	Josef Šural
J. Svedberg	Jonathan Svedberg
J. Svensson	Jesper Svensson
J. Svensson	Jonas Svensson
J. Swart	Joran Swart
J. Swierczok	Jakub Swierczok
J. Swift	John Swift
J. Sylvestr	Jakub Sylvestr
J. Szmatula	Jakub Szmatula
J. Tabidze	Jemal Tabidze
J. Tah	Jonathan Tah
J. Tallo	Junior Tallo
J. Tamimi	Jonathan Tamimi
J. Tanaka	Junya Tanaka
J. Tarkowski	James Tarkowski
J. Tartarotti	Johannes Tartarotti
J. Tavares	Julio Tavares
J. Tavernier	James Tavernier
J. Taylor	Jon Taylor
J. Taylor	Jake Taylor
J. Taylor	Jermaine Taylor
J. Taylor	Jack Taylor
J. Tell	Jordan Tell
J. Terry	John Terry
J. Teunckens	Jens Teunckens
J. Thiesson	Jérôme Thiesson
J. Thomas	Jack Thomas
J. Thomas	Josh Thomas
J. Thomasen	Jens Jakob Thomasen
J. Thomassen	Joachim Thomassen
J. Thompson	Joe Thompson
J. Thomsen	Johnny Thomsen
J. Thorniley	Jordan Thorniley
J. Thorsen	Jonas Thorsen
J. Tibbetts	Joshua Tibbetts
J. Tierney	James Tierney
J. Tilley	James Tilley
J. Tillson	Jordan Tillson
J. Tinhan	Jonathan Tinhan
J. Tjørnelund	Jacob Tjørnelund
J. Toivio	Joona Toivio
J. Toljan	Jeremy Toljan
J. Tomkins	James Tomkins
J. Toornstra	Jens Toornstra
J. Toral	Jon Toral
J. Torres	José Francisco Torres
J. Torres	Juan Torres
J. Torres	Jeferson Torres
J. Torres	Joaquín Torres
J. Torres Nilo	Jorge Torres Nilo
J. Torunarigha	Jordan Torunarigha
J. Tosik	Jakub Tosik
J. Trejo	Juan Manuel Trejo
J. Troisi	James Troisi
J. Tshibumbu	John Tshibumbu
J. Tuominen	Jasse Tuominen
J. Turley	Jamie Turley
J. Turnbull	Jordan Turnbull
J. Tveita	Jon Helge Tveita
J. Tverskov	Jeppe Tverskov
J. Tymon	Josh Tymon
J. Tyson	Jerrad Tyson
J. Uchuari	Jonny Uchuari
J. Umerah	Joshua Umerah
J. Une Larsson	Jacob Une Larsson
J. Untersee	Joel Untersee
J. Urellano	Jose Antonio Urellano
J. Urke	Jan-Lennart Urke
J. Uronen	Jere Uronen
J. Urretaviscaya	Jonathan Urretaviscaya
J. Vachoux	Jérémy Vachoux
J. Valadez	Jorge Valadez
J. Valdez Chamorro	Jorge Valdez Chamorro
J. Valencia	Juan David Valencia
J. Valencia	Jader Valencia
J. Valencia	Juan Valencia
J. Valencia	José Valencia
J. Valencia	John Valencia
J. Valencia	Juan David Valencia
J. Valencia	Joel Valencia
J. Valenzuela	Juan Carlos Valenzuela
J. Vall	Johannes Vall
J. Valoyes	Jimmy Valoyes
J. van Aken	Joost van Aken
J. Van Damme	Jelle Van Damme
J. van den Berg	Joey van den Berg
J. van den Bergh	Johannes van den Bergh
J. van der Heijden	Jan-Arie van der Heijden
J. van der Heyden	Jelle van der Heyden
J. van der Lely	Jeroen van der Lely
J. van der Linden	Jop van der Linden
J. van der Sar	Joe van der Sar
J. van Overeem	Joris van Overeem
J. Van Rankin	Josecarlos Van Rankin
J. Vancamp	Jorn Vancamp
J. Vanlerberghe	Jordi Vanlerberghe
J. Vansteenkiste	Jannes Vansteenkiste
J. Vardy	Jamie Vardy
J. Varela	John Varela
J. Vásquez	Jhonny Vásquez
J. Vaughan	James Vaughan
J. Vázquez	José Juan Vázquez
J. Veale	Jamie Veale
J. Vela	Juan Camilo Vela
J. Vela	Josh Vela
J. Velázquez	José Manuel Velázquez
J. Velázquez	Julián Velázquez
J. Veltman	Joël Veltman
J. Venegas	Johan Venegas
J. Venlero	Jean Paul Venlero
J. Veretout	Jordan Veretout
J. Vergara	Jherson Vergara
J. Verhoek	John Verhoek
J. Verlaat	Jesper Verlaat
J. Vertonghen	Jan Vertonghen
J. Vestergaard	Jannik Vestergaard
J. Vickers	Josh Vickers
J. Vidovic	Jovan Vidovic
J. Vigón	Juan Pablo Vigón
J. Villafaña	Jorge Villafaña
J. Villalba	Julio Villalba
J. Villalpando	Jorge Villalpando
J. Villarreal	Jose Villarreal
J. Villarreal	Jaime Villarreal
J. Villota	Juan Villota
J. Vincent	James Vincent
J. Vitale	Julián Vitale
J. Viveros	Jhonier Viveros
J. Vollert	Jannes Vollert
J. von Haacke	Julian von Haacke
J. Vossen	Jelle Vossen
J. Vukovic	Jagoš Vukovic
J. Vunguidica	José Pierre Vunguidica
J. Walker	Jamie Walker
J. Walker	Jeremy Walker
J. Walker	Jimmy Walker
J. Wallace	Jed Wallace
J. Walsh	Joe Walsh
J. Walters	Jonathan Walters
J. Walton	Jack Walton
J. Ward	Jamie Ward
J. Ward	Joel Ward
J. Ward-Prowse	James Ward-Prowse
J. Watson	Je-Vaughn Watson
J. Watts	Jared Watts
J. Wawrzyniak	Jakub Wawrzyniak
J. Wehrmann	Jordy Wehrmann
J. Weigl	Julian Weigl
J. Weir	James Weir
J. Welsh	John Welsh
J. Welzmüller	Josef Welzmüller
J. Westerberg	Jesper Westerberg
J. Whatmough	Jack Whatmough
J. White	John White
J. Wicks	Joshua Wicks
J. Wiland	Johan Wiland
J. Wildsmith	Joe Wildsmith
J. Willems	Jetro Willems
J. Williams	Jonathan Williams
J. Williams	Josh Williams
J. Williams	Joe Williams
J. Williams	Jordan Williams
J. Williams	Jordan Williams
J. Williams	Jack Williams
J. Williams	Jordan Williams
J. Willis	Joe Willis
J. Willis	Jordan Willis
J. Wilshere	Jack Wilshere
J. Wilson	James Wilson
J. Wilson	James Wilson
J. Windass	Josh Windass
J. Wójcicki	Jakub Wójcicki
J. Worrall	Joe Worrall
J. Wrabel	Jakub Wrabel
J. Wright	Joe Wright
J. Wright	Jake Wright
J. Wright	Jake Wright
J. Wright	Josh Wright
J. Wróbel	Jakub Wróbel
J. Wurtz	Johannes Wurtz
J. Yaro	Joshua Yaro
J. Yates	Jerry Yates
J. Yorwerth	Joshua Yorwerth
J. Young	Jordan Young
J. Young	Jamie Young
J. Yueill	Jackson Yueill
J. Zárate	Jorge Zárate
J. Zavala	Jesús Zavala
J. Zimmer	Jean Zimmer
J. Zimmermann	Jan Zimmermann
J. Zmrhal	Jaromír Zmrhal
J. Zoet	Jeroen Zoet
J. Zubrowski	Jakub Zubrowski
J. Zuluaga	Juan Zuluaga
J. Zúñiga	Juan Camilo Zúñiga
J. Zwischenbrugger	Jan Zwischenbrugger
Jacson Zonta	Jacson João Zonta Filho
Jadson	Jadson Silva de Morais
Jadson Castrelo	Jadson José Castrelo Rios
Jadson Vidigal	Matheus Jadson Vidigal Morais
Jailson Caeiro	Jailson Michel Caeiro Meireles
Jailson Oliva	Jailson Pietro Oliva Chiamulera
Jaim Abra	Jaime Tomás Abravanel Mestres
Jaime Romero	Jaime Romero Gómez
Jaimosa Cavaco	Jaime Frederico Cavaco Dorta
Jair	Jair Eduardo Britto da Silva
Jair Amador	Jair Amador Silos
Jairinhazo	Jairo Ralph Resende dos Santos
Jairo	Jairo Samperio Bustara
Jairo Farnias	Jairo Ralph Farnias Almeida
Jairo Morillas	Jairo Morillas Rivero
Jallyson Neto	Jallyson Caio Neto Jardim
Janeiro Mutto	Janeiro Eduardo Mutto Peixoto
Jang Cheol Yong	Cheol Yong Jang
Jang Dae Hee	Dae Hee Jang
Jang Ho Ik	Ho Ik Jang
Jang Hyeon Soo	Hyeon Soo Jang
Jang Yun Ho	Yun Ho Jang
Jano	Alejandro Velasco Fariñas
Janota	Ricardo Baleia Janota
Jardel	Esmiraldo Sá Silva
Jardel	Jardel Nivaldo Vieira
Jason	David Remeseiro Salgueiro
Jaume	Jaume Domenech Sánchez
Jaume Costa	Jaume Vicent Costa Jordá
Jaume Valens	Jaume Valens Cardell
Javi Álamo	Javier Álamo Cruz
Javi Alonso	Javier Alonso Bello
Javi Castellano	Javier Castellano Betancor
Javi Díaz	Javier Díaz Sánchez
Javi Espinosa	Javier Espinosa González
Javi Flaño	Javier Flaño Bezunartea
Javi Fuego	Javier Fuego Martínez
Javi Galán	Javier Galán Gil
Javi García	Fran. Javier García Fernández
Javi Guerra	Javier Guerra Rodríguez
Javi Hernández	Javier Hernández González
Javi Jiménez	Javier Jiménez Moreno
Javi Jiménez	Javier Jiménez García
Javi Lara	Javier Lara Grande
Javi López	Javier López Rodríguez
Javi Martínez	Javier Martínez Aginaga
Javi Moyano	Javier Moyano Lujano
Javi Muñoz	Javier Muñoz Jiménez
Javi Ontiveros	Javier Ontiveros Parra
Javi Pérez	Javier Pérez Mateo
Javi Ros	Javier Ros Añón
Javi Varas	Javier Varas Herrera
Javi Vázquez	Javier María Vázquez López
Javito	Javier López Abadías
Je Jong Hyeon	Jong Hyeon Je
Jean Carlos	Jean Carlos Silva Rocha
Jean Cleber	Jean Cleber Santos da Silva
Jeff Meirson	Jeff Nazario Meire Costinho
Jefferson	Jefferson Nascimento
Jefferson Santos	Jefferson De Jesus Santos
Jeffrén	Jeffrén Isaías Suárez Bermúdez
Jemerson	Jemerson de Jesus Nascimento
Jeon Hyeon Chul	Hyeon Chul Jeon
Jeong Dong Ho	Dong Ho Jeong
Jeong Dong Yun	Dong Yun Jeong
Jeong Hyuk	Hyuk Jeong
Jeong Jae Yong	Jae Yong Jeong
Jeong Jun Yeon	Jun Yeon Jeong
Jeong Seung Hyun	Seung Hyun Jeong
Jeong Seung Won	Seung Won Jeong
Jeong Woon	Woon Jeong
Jeong YeongChong	Yeong Chong Jeong
Jesé	Jesé Rodríguez Ruíz
Jessé Ferdeira	Jessé Jonas Ferdeira Farias
Jessé Ledeiro	Jessé Martin Ledeiro Serra
Jesús Alfaro	Jesús Alfaro Ligero
Jesus Andradaldo	Jesus Fabrício Andrade Simões
Jesús Areso	Jesús Areso Blanco
Jesús Fernández	Jesús Fernández Collado
Jesús Gámez	Jesús Gámez Duarte
Jesús González	Jesús González Díaz
Jesús Imaz	Jesús Imaz Ballesté
Jesús Valentín	Jesús Miguel Valentín Rodríguez
Jhon Cley	Jhon Cley Jesus Silva
Jhonatan	Jhonatan Luiz Siqueira
Jhonnattann	Jhonnattann Benites
Ji Dong Won	Dong Won Ji
Jiang Zhipeng	Zhipeng Jiang
Jin Seong Wook	Seong Wook Jin
Jo Hyeon Woo	Hyeon Woo Jo
Jo Ju Young	Ju Young Jo
Jo Sung Jin	Sung Jin Jo
Joan Jordán	Joan Jordán Moreno
Joan Román	Joan Angel Román Ollè
Joaninho Chagas	Joaninho Marvin Chagas Silva
João Afonso	João Ricardo da Silva Afonso
João Amaral	João Pedro Reis Amaral
João Aurélio	João Miguel Coimbra Aurélio
João Bruiñeira	João Fabrício Bruiñeira Salvador
João Cancelo	João Pedro Cavaco Cancelo
João Carvalho	João António Antunes Carvalho
João Costa	João Paulo Santos da Costa
João Diogo	João Diogo Gomes de Freitas
João Gamboa	João Pedro da Costa Gamboa
João Góis	João Duarte Teixeira Góis
João Graça	João Pedro Salazar da Graça
João Mário	João Mário Naval Costa Eduardo
João Meira	João Diogo Serpa Meira
João Moutinho	João Filipe Moutinho
João Novais	João Pedro Barradas Novais
João Nunes	João Aniceto Grandela Nunes
João Oliveira	João De Oliveira
João Pedro	João Pedro Pereira dos Santos
João Pedro	João Pedro Almeida Machado
João Pedro	João Pedro G. Santos Galvão
João Pereira	João Duarte Vieira Pereira
João Pereira	João Pedro da Silva Pereira
João Pinho	João Paulo Silva Pinho
João Queirós	João Ricardo Pereira Queirós
João Schmidt	João Felipe Schmidt Urbano
João Silva	João Pedro Pereira Silva
João Sousa	João Guilherme Gonçalves de Sousa
João Talocha	João Carlos Fonseca Silva
João Teixeira	João Rafael Brito Teixeira
João Teixeira	João Carlos Vilaça Teixeira
João Vasco	João Vasco Santos de Miranda
João Victor	João Victor Santos Sá
João Vigário	João Miguel Ribeiro Vigário
Joãozinho	João Carlos Reis Graça
Joãozinho	João Natailton Ramos dos Santos
Joaquín	Joaquín Sánchez Rodríguez
Joaquín	Joaquín Fernández Moreno
Joca	Jorge Samuel Fernandes
Joel	Joel António Soares Ferreira
Joel Pereira	Joel Castro Pereira
Joel Robles	Joel Robles Blázquez
Joelinton	Joelinton Apolinário de Lira
Johnathan	Johnathan Aparecido Silva
Jon Bautista	Jon Bautista Orgilles
Jon Erice	Jon Erice Dominguez
Jona	Jonathan Mejía Ruiz
Jonaldo Santoso	Jonaldo Kauã Santoso Jasper
Jonas	Jonas Gonçalves Oliveira
Jonas Damasto	Jonas Welson Damasto Orsi
Jonatas Belusso	Jonatas Elias Belusso
Jonathan Cafú	Jonathan Renato Barbosa
Jonathan Pereira	Jonathan Pereira Rodríguez
Jonathan Reis	Jonathan de Lima Reis
Jonathan Viera	Jonathan Viera Ramos
Jonathas	Jonathas de Jesus Maurício
Jong Il Gwan	Il Gwan Jong
Joni Montiel	Jonathan Montiel Caballero
Jonny	Jonathan Castro Otto
Jony	Jonathan Rodríguez Menéndez
Jony Reitosa	Jony Allison Reitosa Ribeiro
Joo Hyeon Woo	Hyeon Woo Joo
Joo Min Kyu	Min Kyu Joo
Jordi Alba	Jordi Alba Ramos
Jordi Amat	Jordi Amat Maas
Jordi Calavera	Jordi Calavera Espinach
Jordi Masip	Jordi Masip López
Jordi Mboula	Jordi Mboula Queralt
Jordi Ortega	Jordi Ortega Alcalá
